Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Sum
1996,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,14.0,24.0,25.0,28.0,36.0,25.0,0.0,
1997,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,10.0,27.0,30.0,32.0,30.0,23.0,0.0,
1998,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,15.0,21.0,29.0,30.0,23.0,16.0,0.0,
1999,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,11.0,9.0,24.0,28.0,35.0,22.0,23.0,0.0,
2000,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,12.0,10.0,16.0,34.0,27.0,23.0,20.0,0.0,
2001,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,14.0,14.0,28.0,33.0,21.0,33.0,0.0,
2002,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,12.0,24.0,12.0,29.0,37.0,26.0,28.0,0.0,
2003,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,9.0,15.0,21.0,31.0,40.0,20.0,24.0,0.0,
2004,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,15.0,20.0,27.0,30.0,38.0,35.0,0.0,
2005,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,9.0,21.0,22.0,26.0,42.0,28.0,32.0,0.0,
2006,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,19.0,17.0,28.0,39.0,33.0,36.0,0.0,
2007,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,13.0,19.0,32.0,40.0,41.0,38.0,0.0,
2008,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,7.0,15.0,15.0,25.0,33.0,43.0,50.0,0.0,
2009,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,12.0,16.0,34.0,42.0,40.0,46.0,0.0,
2010,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,6.0,17.0,21.0,28.0,31.0,37.0,63.0,0.0,
2011,Male,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,12.0,13.0,34.0,24.0,53.0,57.0,0.0,
1968,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,4.0,11.0,6.0,6.0,4.0,0.0,
1969,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,8.0,8.0,10.0,3.0,0.0,
1970,Female,Mortality,Chronic lymphocytic leukaemia,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,13.0,14.0,5.0,6.0,0.0,
1971,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,10.0,3.0,4.0,3.0,0.0,
1972,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,4.0,3.0,9.0,6.0,10.0,0.0,
1973,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,11.0,4.0,10.0,5.0,0.0,
1974,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,6.0,15.0,9.0,11.0,5.0,0.0,
1975,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,5.0,2.0,11.0,10.0,9.0,0.0,
1976,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,10.0,12.0,9.0,10.0,7.0,0.0,
1977,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,6.0,6.0,9.0,7.0,16.0,13.0,0.0,
1978,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,5.0,12.0,5.0,6.0,9.0,0.0,
1979,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,7.0,10.0,16.0,15.0,0.0,
1980,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,5.0,10.0,19.0,12.0,0.0,
1981,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,7.0,7.0,11.0,9.0,10.0,0.0,
1982,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,7.0,12.0,23.0,12.0,0.0,
1983,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,14.0,15.0,13.0,8.0,0.0,
1984,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,10.0,14.0,14.0,23.0,0.0,
1985,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,8.0,13.0,19.0,15.0,25.0,0.0,
1986,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,7.0,9.0,12.0,17.0,21.0,0.0,
1987,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,4.0,6.0,12.0,16.0,17.0,21.0,0.0,
1988,Female,Mortality,Chronic lymphocytic leukaemia,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,7.0,2.0,7.0,23.0,25.0,19.0,0.0,
1989,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,7.0,11.0,20.0,17.0,18.0,0.0,
1990,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,5.0,8.0,17.0,13.0,21.0,0.0,
1991,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,16.0,18.0,17.0,19.0,0.0,
1992,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,12.0,13.0,11.0,22.0,9.0,24.0,0.0,
1993,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,13.0,16.0,20.0,21.0,0.0,
1994,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,12.0,10.0,12.0,28.0,30.0,0.0,
1995,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,7.0,19.0,21.0,17.0,32.0,0.0,
1996,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,15.0,15.0,23.0,24.0,0.0,
1997,Female,Mortality,Chronic lymphocytic leukaemia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,8.0,8.0,13.0,17.0,22.0,38.0,0.0,
1998,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,13.0,7.0,16.0,24.0,32.0,0.0,
1999,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,6.0,14.0,21.0,20.0,48.0,0.0,
2000,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,8.0,20.0,21.0,21.0,37.0,0.0,
2001,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,4.0,7.0,14.0,25.0,29.0,32.0,0.0,
2002,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,5.0,9.0,15.0,13.0,17.0,33.0,0.0,
2003,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,12.0,22.0,19.0,46.0,0.0,
2004,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,12.0,19.0,20.0,39.0,0.0,
2005,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,13.0,23.0,26.0,28.0,0.0,
2006,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,10.0,8.0,22.0,23.0,45.0,0.0,
2007,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,7.0,14.0,14.0,29.0,52.0,0.0,
2008,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,12.0,19.0,18.0,45.0,0.0,
2009,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,10.0,10.0,11.0,26.0,51.0,0.0,
2010,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,6.0,17.0,19.0,22.0,70.0,0.0,
2011,Female,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,7.0,11.0,12.0,11.0,26.0,72.0,0.0,
1968,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,12.0,13.0,27.0,21.0,14.0,6.0,0.0,
1969,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,14.0,18.0,10.0,21.0,20.0,14.0,7.0,0.0,
1970,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,12.0,12.0,17.0,24.0,26.0,14.0,10.0,0.0,
1971,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,6.0,14.0,22.0,24.0,16.0,12.0,6.0,0.0,
1972,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0,11.0,10.0,15.0,19.0,13.0,19.0,0.0,
1973,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,7.0,9.0,15.0,24.0,15.0,21.0,13.0,0.0,
1974,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,16.0,17.0,19.0,33.0,15.0,20.0,14.0,0.0,
1975,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,14.0,18.0,12.0,23.0,23.0,14.0,0.0,
1976,Persons,Mortality,Chronic lymphocytic leukaemia,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,9.0,14.0,27.0,30.0,22.0,20.0,13.0,0.0,
1977,Persons,Mortality,Chronic lymphocytic leukaemia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,12.0,18.0,28.0,25.0,24.0,23.0,0.0,
1978,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,18.0,18.0,32.0,22.0,19.0,19.0,0.0,
1979,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,8.0,14.0,16.0,22.0,25.0,28.0,17.0,0.0,
1980,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,9.0,7.0,10.0,24.0,25.0,33.0,21.0,1.0,
1981,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,11.0,18.0,20.0,26.0,20.0,19.0,16.0,2.0,
1982,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,10.0,16.0,28.0,29.0,39.0,19.0,0.0,
1983,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,11.0,25.0,32.0,24.0,22.0,16.0,0.0,
1984,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,8.0,17.0,21.0,32.0,33.0,29.0,37.0,0.0,
1985,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,12.0,15.0,25.0,30.0,37.0,28.0,35.0,0.0,
1986,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,13.0,20.0,21.0,17.0,36.0,29.0,35.0,0.0,
1987,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,14.0,14.0,23.0,37.0,33.0,38.0,37.0,0.0,
1988,Persons,Mortality,Chronic lymphocytic leukaemia,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,8.0,18.0,18.0,30.0,48.0,48.0,36.0,0.0,
1989,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,8.0,20.0,29.0,26.0,39.0,36.0,40.0,0.0,
1990,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,19.0,19.0,25.0,39.0,34.0,38.0,0.0,
1991,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,20.0,21.0,42.0,41.0,32.0,33.0,0.0,
1992,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,7.0,22.0,29.0,30.0,53.0,31.0,40.0,0.0,
1993,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,11.0,13.0,23.0,34.0,39.0,46.0,46.0,0.0,
1994,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,9.0,19.0,29.0,37.0,41.0,51.0,66.0,0.0,
1995,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,10.0,14.0,28.0,47.0,35.0,42.0,49.0,0.0,
1996,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,17.0,28.0,40.0,43.0,59.0,49.0,0.0,
1997,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,18.0,35.0,43.0,49.0,52.0,61.0,0.0,
1998,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,17.0,34.0,36.0,46.0,47.0,48.0,0.0,
1999,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,14.0,11.0,30.0,42.0,56.0,42.0,71.0,0.0,
2000,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,10.0,12.0,14.0,24.0,54.0,48.0,44.0,57.0,0.0,
2001,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,19.0,18.0,21.0,42.0,58.0,50.0,65.0,0.0,
2002,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,17.0,29.0,21.0,44.0,50.0,43.0,61.0,0.0,
2003,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,11.0,19.0,25.0,43.0,62.0,39.0,70.0,0.0,
2004,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,16.0,25.0,39.0,49.0,58.0,74.0,0.0,
2005,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,12.0,25.0,32.0,39.0,65.0,54.0,60.0,0.0,
2006,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,13.0,22.0,27.0,36.0,61.0,56.0,81.0,0.0,
2007,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,17.0,26.0,46.0,54.0,70.0,90.0,0.0,
2008,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,9.0,16.0,17.0,37.0,52.0,61.0,95.0,0.0,
2009,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,14.0,19.0,26.0,44.0,53.0,66.0,97.0,0.0,
2010,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,8.0,19.0,27.0,45.0,50.0,59.0,133.0,0.0,
2011,Persons,Mortality,Chronic lymphocytic leukaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,8.0,19.0,24.0,46.0,35.0,79.0,129.0,0.0,
1968,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1969,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1970,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1971,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1972,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1973,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1974,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1975,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1976,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1977,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1978,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1979,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1980,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1981,Male,Incidence,Chronic myeloid leukaemia,,,,,,,,,,,,,,,,,,,,
1982,Male,Incidence,Chronic myeloid leukaemia,2.0,3.0,0.0,2.0,1.0,4.0,3.0,4.0,6.0,4.0,7.0,13.0,12.0,22.0,23.0,10.0,13.0,5.0,0.0,
1983,Male,Incidence,Chronic myeloid leukaemia,0.0,0.0,1.0,0.0,8.0,2.0,4.0,4.0,5.0,5.0,3.0,12.0,13.0,10.0,21.0,4.0,6.0,7.0,0.0,
1984,Male,Incidence,Chronic myeloid leukaemia,2.0,0.0,0.0,3.0,1.0,2.0,5.0,7.0,5.0,5.0,16.0,7.0,14.0,13.0,17.0,19.0,9.0,6.0,0.0,
1985,Male,Incidence,Chronic myeloid leukaemia,2.0,0.0,2.0,2.0,3.0,2.0,6.0,5.0,7.0,5.0,5.0,9.0,16.0,19.0,28.0,20.0,16.0,6.0,0.0,
1986,Male,Incidence,Chronic myeloid leukaemia,1.0,0.0,0.0,1.0,1.0,5.0,4.0,11.0,5.0,4.0,5.0,12.0,15.0,10.0,25.0,13.0,9.0,7.0,0.0,
1987,Male,Incidence,Chronic myeloid leukaemia,0.0,1.0,2.0,0.0,2.0,8.0,5.0,5.0,2.0,10.0,7.0,4.0,19.0,17.0,22.0,19.0,13.0,6.0,0.0,
1988,Male,Incidence,Chronic myeloid leukaemia,1.0,1.0,1.0,2.0,7.0,4.0,3.0,3.0,10.0,2.0,12.0,13.0,15.0,21.0,24.0,16.0,12.0,11.0,0.0,
1989,Male,Incidence,Chronic myeloid leukaemia,1.0,1.0,2.0,5.0,1.0,9.0,7.0,6.0,6.0,7.0,2.0,9.0,10.0,20.0,28.0,23.0,24.0,4.0,0.0,
1990,Male,Incidence,Chronic myeloid leukaemia,2.0,1.0,1.0,1.0,4.0,4.0,2.0,10.0,11.0,6.0,11.0,2.0,12.0,12.0,23.0,20.0,11.0,17.0,0.0,
1991,Male,Incidence,Chronic myeloid leukaemia,2.0,0.0,0.0,2.0,3.0,1.0,4.0,11.0,6.0,10.0,6.0,8.0,21.0,14.0,24.0,17.0,16.0,11.0,0.0,
1992,Male,Incidence,Chronic myeloid leukaemia,1.0,0.0,0.0,3.0,4.0,7.0,9.0,9.0,7.0,7.0,10.0,7.0,8.0,23.0,30.0,23.0,16.0,9.0,0.0,
1993,Male,Incidence,Chronic myeloid leukaemia,1.0,0.0,1.0,2.0,1.0,5.0,4.0,5.0,6.0,7.0,9.0,7.0,14.0,15.0,33.0,25.0,22.0,9.0,0.0,
1994,Male,Incidence,Chronic myeloid leukaemia,2.0,0.0,1.0,4.0,3.0,7.0,7.0,2.0,7.0,8.0,13.0,17.0,17.0,16.0,18.0,27.0,16.0,18.0,0.0,
1995,Male,Incidence,Chronic myeloid leukaemia,2.0,0.0,0.0,4.0,3.0,6.0,8.0,11.0,10.0,4.0,15.0,7.0,8.0,19.0,32.0,21.0,17.0,18.0,0.0,
1996,Male,Incidence,Chronic myeloid leukaemia,4.0,0.0,0.0,0.0,2.0,12.0,6.0,16.0,9.0,14.0,16.0,13.0,9.0,11.0,25.0,23.0,11.0,11.0,0.0,
1997,Male,Incidence,Chronic myeloid leukaemia,0.0,1.0,3.0,1.0,2.0,10.0,3.0,5.0,9.0,10.0,7.0,11.0,12.0,21.0,24.0,30.0,24.0,12.0,0.0,
1998,Male,Incidence,Chronic myeloid leukaemia,2.0,0.0,0.0,4.0,3.0,2.0,6.0,7.0,7.0,10.0,11.0,12.0,16.0,15.0,26.0,23.0,12.0,10.0,0.0,
1999,Male,Incidence,Chronic myeloid leukaemia,1.0,1.0,0.0,2.0,4.0,6.0,5.0,11.0,11.0,6.0,17.0,13.0,11.0,6.0,26.0,18.0,13.0,11.0,0.0,
2000,Male,Incidence,Chronic myeloid leukaemia,0.0,0.0,2.0,2.0,5.0,7.0,6.0,6.0,11.0,9.0,16.0,12.0,10.0,11.0,15.0,19.0,13.0,10.0,0.0,
2001,Male,Incidence,Chronic myeloid leukaemia,0.0,0.0,1.0,3.0,2.0,6.0,10.0,9.0,13.0,7.0,11.0,15.0,13.0,13.0,23.0,19.0,10.0,12.0,0.0,
2002,Male,Incidence,Chronic myeloid leukaemia,0.0,2.0,1.0,1.0,3.0,4.0,8.0,12.0,9.0,8.0,16.0,10.0,19.0,14.0,19.0,18.0,10.0,14.0,0.0,
2003,Male,Incidence,Chronic myeloid leukaemia,0.0,1.0,3.0,3.0,3.0,6.0,5.0,7.0,11.0,10.0,19.0,10.0,15.0,10.0,16.0,19.0,8.0,9.0,0.0,
